,model_data
9ff,"['Alaskan', 'Alpine A110', 'Alpine A310', 'Alpine A610', 'Alpine V6', 'Arkana', 'Austral', 'Avantime', 'Captur', 'Clio', 'Coupe', 'Duster', 'Espace', 'Express', 'Fluence', 'Fluence Z.E.', 'Fuego', 'Grand Espace', 'Grand Modus']"
AC,"['124 GT', '124 Rally Tribute', '124 Spider', '500', '500C', '595', '595 Competizione', '595 Pista', '595 Turismo']"
ACM,"['Ace', 'Cobra', 'Others']"
Abarth,"['F70 Etronic', 'F97 A-Max', 'GT9', 'GTronic', 'GTurbo', 'Speed9', 'Others']"
Acura,"['4 WD', 'Biagini Passo', 'Others']"
Aiways,"['ILX', 'MDX', 'NSX', 'RDX', 'RL', 'RLX', 'RSX', 'TL', 'TLX']"
Aixam,"['U5', 'U6 Ion', 'Others']"
Alba Mobility,"['400', '500', 'A.', 'City', 'Coupe', 'Crossline', 'Crossover', 'D-truck']"
Alfa Romeo,"['Cargo', 'Golf Cart', 'LE 22 Limited Edition', 'Street Cart', 'Tour Cart', 'Others']"
Alpina,"['145', '146', '147', '155', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'C1', 'C2', 'D10', 'D3', 'D4', 'D5', 'Roadster Limited Edition', 'Roadster S', 'Roadster V8', 'XB7', 'XD3', 'XD4', 'Others']"
Alpine,"['B10', 'B11', 'B12', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'C1', 'C2']"
Amphicar,"['A110', 'Others']"
Angelelli Automobili,"['770', 'Others']"
Ariel Motor,"['D-1 S Hypercar', 'D-2 GT Granturismo V12', 'D-3 SUV', 'Hintegrale']"
Artega,"['Atom', 'Nomad', 'Others']"
Aspid,"['GT', 'Karo', 'Scalo', 'Others']"
Aston Martin,"['GT-21', 'SS', 'Others']"
